"month","UF","admissions","dismissals","source"
"2007-07","SE",5958,5289,"CAGED"
"2007-07","SP",383400,323993,"CAGED"
"2007-07","TO",4464,3715,"CAGED"
"2007-08","AC",1452,1505,"CAGED"
"2007-08","AL",7609,7109,"CAGED"
"2007-08","AM",14900,11554,"CAGED"
"2007-08","AP",1877,1561,"CAGED"
"2007-08","BA",46042,42558,"CAGED"
"2007-08","CE",31518,21936,"CAGED"
"2007-08","DF",19945,17287,"CAGED"
"2007-08","ES",27738,27016,"CAGED"
"2007-08","GO",38986,34222,"CAGED"
"2007-08","MA",10794,8401,"CAGED"
"2007-08","MG",160623,176904,"CAGED"
"2007-08","MS",15178,14390,"CAGED"
"2007-08","MT",22428,20367,"CAGED"
"2007-08","PA",22816,17096,"CAGED"
"2007-08","PB",11662,6759,"CAGED"
"2007-08","PE",36775,24570,"CAGED"
"2007-08","PI",5785,4925,"CAGED"
"2007-08","PR",90970,78934,"CAGED"
"2007-08","RJ",100934,91958,"CAGED"
"2007-08","RN",15415,10582,"CAGED"
"2007-08","RO",7312,6517,"CAGED"
"2007-08","RR",848,787,"CAGED"
"2007-08","RS",81382,80709,"CAGED"
"2007-08","SC",70038,62897,"CAGED"
"2007-08","SE",6586,5488,"CAGED"
"2007-08","SP",399069,340020,"CAGED"
"2007-08","TO",4841,4142,"CAGED"
"2007-09","AC",1288,1085,"CAGED"
"2007-09","AL",34553,5057,"CAGED"
"2007-09","AM",13858,11030,"CAGED"
"2007-09","AP",1438,1244,"CAGED"
"2007-09","BA",42962,36420,"CAGED"
"2007-09","CE",26267,18486,"CAGED"
"2007-09","DF",18124,14939,"CAGED"
"2007-09","ES",26724,23379,"CAGED"
"2007-09","GO",36909,32783,"CAGED"
"2007-09","MA",10252,7616,"CAGED"
"2007-09","MG",143817,141559,"CAGED"
"2007-09","MS",15715,13583,"CAGED"
"2007-09","MT",23298,20207,"CAGED"
"2007-09","PA",22137,17673,"CAGED"
"2007-09","PB",8864,5409,"CAGED"
"2007-09","PE",45085,21586,"CAGED"
"2007-09","PI",6279,4073,"CAGED"
"2007-09","PR",87477,73288,"CAGED"
"2007-09","RJ",99047,78407,"CAGED"
"2007-09","RN",15199,9354,"CAGED"
"2007-09","RO",6679,5747,"CAGED"
"2007-09","RR",773,521,"CAGED"
"2007-09","RS",78433,63447,"CAGED"
"2007-09","SC",66562,54838,"CAGED"
"2007-09","SE",8232,5205,"CAGED"
"2007-09","SP",379820,302402,"CAGED"
"2007-09","TO",4495,3781,"CAGED"
"2007-10","AC",1301,1530,"CAGED"
"2007-10","AL",10692,6886,"CAGED"
"2007-10","AM",16350,11624,"CAGED"
"2007-10","AP",1662,1612,"CAGED"
"2007-10","BA",48146,41927,"CAGED"
"2007-10","CE",29872,23117,"CAGED"
"2007-10","DF",19918,15906,"CAGED"
"2007-10","ES",27752,27494,"CAGED"
"2007-10","GO",39219,37246,"CAGED"
"2007-10","MA",9686,8652,"CAGED"
"2007-10","MG",152556,138853,"CAGED"
"2007-10","MS",16798,14161,"CAGED"
"2007-10","MT",23751,23242,"CAGED"
"2007-10","PA",22563,19852,"CAGED"
"2007-10","PB",8831,5445,"CAGED"
"2007-10","PE",33892,26224,"CAGED"
"2007-10","PI",5794,3720,"CAGED"
"2007-10","PR",95495,82407,"CAGED"
"2007-10","RJ",102264,85809,"CAGED"
"2007-10","RN",13914,12168,"CAGED"
"2007-10","RO",6983,5927,"CAGED"
"2007-10","RR",896,755,"CAGED"
"2007-10","RS",93763,73645,"CAGED"
"2007-10","SC",81288,64818,"CAGED"
"2007-10","SE",6785,5713,"CAGED"
"2007-10","SP",405465,332347,"CAGED"
"2007-10","TO",5065,4361,"CAGED"
"2007-11","AC",1261,1409,"CAGED"
"2007-11","AL",6722,7678,"CAGED"
"2007-11","AM",14568,10867,"CAGED"
"2007-11","AP",1780,1415,"CAGED"
"2007-11","BA",42855,42464,"CAGED"
"2007-11","CE",26725,20035,"CAGED"
"2007-11","DF",18632,15968,"CAGED"
"2007-11","ES",26686,24676,"CAGED"
"2007-11","GO",35772,42066,"CAGED"
"2007-11","MA",9727,8814,"CAGED"
"2007-11","MG",142999,132035,"CAGED"
"2007-11","MS",17470,17364,"CAGED"
"2007-11","MT",18811,23799,"CAGED"
"2007-11","PA",20636,16804,"CAGED"
"2007-11","PB",7741,5967,"CAGED"
"2007-11","PE",30200,24779,"CAGED"
"2007-11","PI",5496,5218,"CAGED"
"2007-11","PR",88758,79775,"CAGED"
"2007-11","RJ",101308,79856,"CAGED"
"2007-11","RN",12305,11353,"CAGED"
"2007-11","RO",6132,6251,"CAGED"
"2007-11","RR",925,754,"CAGED"
"2007-11","RS",92341,72022,"CAGED"
"2007-11","SC",73897,60461,"CAGED"
"2007-11","SE",7392,5418,"CAGED"
"2007-11","SP",367153,336876,"CAGED"
"2007-11","TO",4356,3970,"CAGED"
"2007-12","AC",948,1595,"CAGED"
"2007-12","AL",5243,6733,"CAGED"
"2007-12","AM",8882,15023,"CAGED"
"2007-12","AP",1279,1488,"CAGED"
"2007-12","BA",36549,40493,"CAGED"
"2007-12","CE",19964,21805,"CAGED"
"2007-12","DF",16275,16251,"CAGED"
"2007-12","ES",22460,25141,"CAGED"
"2007-12","GO",30415,45205,"CAGED"
"2007-12","MA",6688,8707,"CAGED"
"2007-12","MG",113172,142619,"CAGED"
"2007-12","MS",11742,20968,"CAGED"
"2007-12","MT",13213,22733,"CAGED"
"2007-12","PA",16084,20051,"CAGED"
"2007-12","PB",5936,6385,"CAGED"
"2007-12","PE",21429,23667,"CAGED"
"2007-12","PI",3874,4485,"CAGED"
"2007-12","PR",63809,95027,"CAGED"
"2007-12","RJ",87435,82737,"CAGED"
"2007-12","RN",9109,10533,"CAGED"
"2007-12","RO",4912,7112,"CAGED"
"2007-12","RR",641,701,"CAGED"
"2007-12","RS",68268,76333,"CAGED"
"2007-12","SC",51196,66173,"CAGED"
"2007-12","SE",5013,5960,"CAGED"
"2007-12","SP",280445,454350,"CAGED"
"2007-12","TO",3147,5267,"CAGED"
"2008-01","AC",1756,2166,"CAGED"
"2008-01","AL",6270,7449,"CAGED"
"2008-01","AM",14124,13284,"CAGED"
"2008-01","AP",1311,1603,"CAGED"
"2008-01","BA",47566,44852,"CAGED"
"2008-01","CE",25347,30252,"CAGED"
"2008-01","DF",19766,19014,"CAGED"
"2008-01","ES",28498,26731,"CAGED"
"2008-01","GO",45502,34345,"CAGED"
"2008-01","MA",9504,8950,"CAGED"
"2008-01","MG",146832,136377,"CAGED"
"2008-01","MS",21722,17636,"CAGED"
"2008-01","MT",26572,19888,"CAGED"
"2008-01","PA",20439,20808,"CAGED"
"2008-01","PB",7705,7387,"CAGED"
"2008-01","PE",28109,30776,"CAGED"
"2008-01","PI",4818,4801,"CAGED"
"2008-01","PR",99429,87112,"CAGED"
"2008-01","RJ",102461,102644,"CAGED"
"2008-01","RN",11661,13570,"CAGED"
"2008-01","RO",6563,6028,"CAGED"
"2008-01","RR",1071,786,"CAGED"
"2008-01","RS",101674,82645,"CAGED"
"2008-01","SC",84953,67401,"CAGED"
"2008-01","SE",6694,6650,"CAGED"
"2008-01","SP",434228,369116,"CAGED"
"2008-01","TO",4347,3730,"CAGED"
"2008-02","AC",1806,1679,"CAGED"
"2008-02","AL",5583,8111,"CAGED"
"2008-02","AM",14091,13594,"CAGED"
"2008-02","AP",1515,1562,"CAGED"
"2008-02","BA",43998,43188,"CAGED"
"2008-02","CE",24957,26500,"CAGED"
"2008-02","DF",21619,17963,"CAGED"
"2008-02","ES",32037,27813,"CAGED"
"2008-02","GO",46287,34610,"CAGED"
"2008-02","MA",9382,8367,"CAGED"
"2008-02","MG",161413,133621,"CAGED"
"2008-02","MS",21022,16992,"CAGED"
"2008-02","MT",29480,20476,"CAGED"
"2008-02","PA",21481,20558,"CAGED"
"2008-02","PB",7606,13666,"CAGED"
"2008-02","PE",26699,31469,"CAGED"
"2008-02","PI",5110,4955,"CAGED"
"2008-02","PR",106061,91331,"CAGED"
"2008-02","RJ",101869,91581,"CAGED"
"2008-02","RN",11592,14653,"CAGED"
"2008-02","RO",7427,6819,"CAGED"
"2008-02","RR",1061,959,"CAGED"
"2008-02","RS",105541,85461,"CAGED"
"2008-02","SC",91470,78521,"CAGED"
"2008-02","SE",6993,5730,"CAGED"
"2008-02","SP",466625,367973,"CAGED"
"2008-02","TO",4183,3793,"CAGED"
"2008-03","AC",1668,1591,"CAGED"
"2008-03","AL",5082,23578,"CAGED"
"2008-03","AM",15031,12977,"CAGED"
"2008-03","AP",1551,1380,"CAGED"
"2008-03","BA",51697,41102,"CAGED"
"2008-03","CE",26097,23124,"CAGED"
"2008-03","DF",23486,17985,"CAGED"
"2008-03","ES",33046,28395,"CAGED"
"2008-03","GO",45415,36483,"CAGED"
"2008-03","MA",10608,9360,"CAGED"
"2008-03","MG",172647,139626,"CAGED"
"2008-03","MS",22682,17772,"CAGED"
"2008-03","MT",26738,23712,"CAGED"
"2008-03","PA",21205,22652,"CAGED"
"2008-03","PB",7413,10918,"CAGED"
"2008-03","PE",27494,36176,"CAGED"
"2008-03","PI",5495,5045,"CAGED"
"2008-03","PR",117350,92265,"CAGED"
"2008-03","RJ",117992,99109,"CAGED"
"2008-03","RN",12230,11417,"CAGED"
"2008-03","RO",7509,7008,"CAGED"
"2008-03","RR",1202,891,"CAGED"
"2008-03","RS",113092,94618,"CAGED"
"2008-03","SC",85495,79591,"CAGED"
"2008-03","SE",6340,6369,"CAGED"
"2008-03","SP",469995,379413,"CAGED"
"2008-03","TO",4580,4027,"CAGED"
"2008-04","AC",1494,1312,"CAGED"
"2008-04","AL",5891,16307,"CAGED"
"2008-04","AM",14650,11869,"CAGED"
"2008-04","AP",1800,1338,"CAGED"
"2008-04","BA",55627,43637,"CAGED"
"2008-04","CE",24187,23302,"CAGED"
"2008-04","DF",22059,17030,"CAGED"
"2008-04","ES",35766,27563,"CAGED"
"2008-04","GO",53816,39073,"CAGED"
"2008-04","MA",12073,9164,"CAGED"
"2008-04","MG",179540,143946,"CAGED"
"2008-04","MS",22096,19504,"CAGED"
"2008-04","MT",28573,25167,"CAGED"
"2008-04","PA",21569,19600,"CAGED"
"2008-04","PB",7487,6639,"CAGED"
"2008-04","PE",27726,31755,"CAGED"
"2008-04","PI",5671,4294,"CAGED"
"2008-04","PR",117384,91037,"CAGED"
"2008-04","RJ",115025,94201,"CAGED"
"2008-04","RN",12052,11656,"CAGED"
"2008-04","RO",7357,6674,"CAGED"
"2008-04","RR",1318,955,"CAGED"
"2008-04","RS",105505,91927,"CAGED"
"2008-04","SC",81739,74152,"CAGED"
"2008-04","SE",6995,6672,"CAGED"
"2008-04","SP",530394,385455,"CAGED"
"2008-04","TO",5364,4407,"CAGED"
"2008-05","AC",2115,1299,"CAGED (legacy file)"
"2008-05","AL",6220,13865,"CAGED (legacy file)"
"2008-05","AM",15307,13266,"CAGED (legacy file)"
"2008-05","AP",1745,1531,"CAGED (legacy file)"
"2008-05","BA",57099,43480,"CAGED (legacy file)"
"2008-05","CE",27177,23667,"CAGED (legacy file)"
"2008-05","DF",20525,19753,"CAGED (legacy file)"
"2008-05","ES",41323,30319,"CAGED (legacy file)"
"2008-05","GO",46808,40326,"CAGED (legacy file)"
"2008-05","MA",11466,9761,"CAGED (legacy file)"
"2008-05","MG",182405,144437,"CAGED (legacy file)"
"2008-05","MS",21846,18520,"CAGED (legacy file)"
"2008-05","MT",27225,24343,"CAGED (legacy file)"
"2008-05","PA",21996,19946,"CAGED (legacy file)"
"2008-05","PB",7179,6547,"CAGED (legacy file)"
"2008-05","PE",30053,25692,"CAGED (legacy file)"
"2008-05","PI",6170,4260,"CAGED (legacy file)"
"2008-05","PR",103012,86273,"CAGED (legacy file)"
"2008-05","RJ",111000,94805,"CAGED (legacy file)"
"2008-05","RN",12118,11267,"CAGED (legacy file)"
"2008-05","RO",7809,7680,"CAGED (legacy file)"
"2008-05","RR",913,1212,"CAGED (legacy file)"
"2008-05","RS",89188,86892,"CAGED (legacy file)"
"2008-05","SC",74638,70455,"CAGED (legacy file)"
"2008-05","SE",7045,6871,"CAGED (legacy file)"
"2008-05","SP",451610,375876,"CAGED (legacy file)"
"2008-05","TO",5597,4262,"CAGED (legacy file)"
"2008-06","AC",1958,1321,"CAGED"
"2008-06","AL",5825,5541,"CAGED"
"2008-06","AM",18127,12125,"CAGED"
"2008-06","AP",1856,1530,"CAGED"
"2008-06","BA",52442,46015,"CAGED"
"2008-06","CE",32364,22801,"CAGED"
"2008-06","DF",22768,18755,"CAGED"
"2008-06","ES",37474,36249,"CAGED"
"2008-06","GO",49804,37925,"CAGED"
"2008-06","MA",13719,10274,"CAGED"
"2008-06","MG",220247,146587,"CAGED"
"2008-06","MS",21464,17955,"CAGED"
"2008-06","MT",31142,21808,"CAGED"
"2008-06","PA",24800,19303,"CAGED"
"2008-06","PB",7862,6137,"CAGED"
"2008-06","PE",33264,21907,"CAGED"
"2008-06","PI",7173,4614,"CAGED"
"2008-06","PR",106497,92553,"CAGED"
"2008-06","RJ",117440,100319,"CAGED"
"2008-06","RN",14382,10940,"CAGED"
"2008-06","RO",7977,6597,"CAGED"
"2008-06","RR",901,1103,"CAGED"
"2008-06","RS",89983,81993,"CAGED"
"2008-06","SC",79031,70390,"CAGED"
"2008-06","SE",6921,5751,"CAGED"
"2008-06","SP",480371,377645,"CAGED"
"2008-06","TO",6259,4471,"CAGED"
"2008-07","AC",2059,1716,"CAGED"
"2008-07","AL",8032,5814,"CAGED"
"2008-07","AM",17873,14344,"CAGED"
"2008-07","AP",2046,1806,"CAGED"
"2008-07","BA",55941,49256,"CAGED"
"2008-07","CE",36363,25734,"CAGED"
"2008-07","DF",21585,20105,"CAGED"
"2008-07","ES",34291,32437,"CAGED"
"2008-07","GO",46436,41614,"CAGED"
"2008-07","MA",16108,10808,"CAGED"
"2008-07","MG",204001,172158,"CAGED"
"2008-07","MS",20609,21557,"CAGED"
"2008-07","MT",31110,25323,"CAGED"
"2008-07","PA",26179,22468,"CAGED"
"2008-07","PB",10665,7179,"CAGED"
"2008-07","PE",33388,27006,"CAGED"
"2008-07","PI",6729,5736,"CAGED"
"2008-07","PR",112894,99259,"CAGED"
"2008-07","RJ",124213,105199,"CAGED"
"2008-07","RN",16639,12296,"CAGED"
"2008-07","RO",9085,8177,"CAGED"
"2008-07","RR",1026,1218,"CAGED"
"2008-07","RS",96814,92292,"CAGED"
"2008-07","SC",81405,73820,"CAGED"
"2008-07","SE",7278,6498,"CAGED"
"2008-07","SP",474689,410624,"CAGED"
"2008-07","TO",5350,5146,"CAGED"
"2008-08","AC",1854,1508,"CAGED (legacy file)"
"2008-08","AL",8013,6507,"CAGED (legacy file)"
"2008-08","AM",18707,14073,"CAGED (legacy file)"
