"file","bytes","md5"
"CAGED/2017/CAGEDEST_112017.7z",20917215,"d8db9d903975910c466a84d35f224d52"
"CAGED/2017/CAGEDEST_122017.7z",19838273,"aa0ceaff202a75e8a66ef57628f6a298"
"CAGED/2018/CAGEDEST_012018.7z",25246404,"2e27c2d9882408b736e2a63e01898329"
"CAGED/2018/CAGEDEST_022018.7z",23272480,"dddc672dacdf0c539be19bd05dcfb0b6"
"CAGED/2018/CAGEDEST_032018.7z",24600551,"7a4d11b23a55e92624ac9ef697b0570a"
"CAGED/2018/CAGEDEST_042018.7z",23437704,"f589dc273d7d4db0c125334c08f0a3fa"
"CAGED/2018/CAGEDEST_052018.7z",26019762,"fa50760ad9423512bc9a396b9dcb4f53"
"CAGED/2018/CAGEDEST_062018.7z",24245038,"cbafb7fab831dce1f4ff5182d33a0436"
"CAGED/2018/CAGEDEST_072018.7z",24607229,"235d8850ea86d92ac844ca459349a7f5"
"CAGED/2018/CAGEDEST_082018.7z",24517986,"a4b02b528b3d6c13d9ca5b0e629a34ab"
"CAGED/2018/CAGEDEST_092018.7z",21994851,"b5d4dd5653246c4d027cfa84284bd272"
"CAGED/2018/CAGEDEST_102018.7z",23548359,"c2f5fe33f6e703976387c82b6991a8f6"
"CAGED/2018/CAGEDEST_112018.7z",21772924,"0333ca2ff69f791f31da59e8eb05680b"
"CAGED/2018/CAGEDEST_122018.7z",20861969,"578a62f12ee6e6b21639f35704419b4b"
"CAGED/2019/CAGEDEST_012019.7z",24472849,"991f9234618da89becb688be3c788525"
"CAGED/2019/CAGEDEST_022019.7z",25587271,"45b3dbccbdaf017fea90b09fcbbccdc9"
"CAGED/2019/CAGEDEST_032019.7z",24398281,"63958a3523c3d6807e01a2e252088356"
"CAGED/2019/CAGEDEST_042019.7z",24626896,"9b8e042e5640f9f200342e50858a03a4"
"CAGED/2019/CAGEDEST_052019.7z",25107715,"89610a44b932712fe63f3a183e2c4b6f"
"CAGED/2019/CAGEDEST_062019.7z",23196955,"308fd6724cb2146d857d764ccdb23591"
"CAGED/2019/CAGEDEST_072019.7z",24784843,"ec627123f53c55d594b88a5f1cba52c2"
"CAGED/2019/CAGEDEST_082019.7z",25095626,"283ce1f75d63ce129087ead8d29e0a7f"
"CAGED/2019/CAGEDEST_092019.7z",23878873,"ff941500cf1bbb13c1ac5997b3eec9ac"
"CAGED/2019/CAGEDEST_102019.7z",25033364,"034f3294199df822abd288653df4f4d6"
"CAGED/2019/CAGEDEST_112019.7z",21302010,"3786d6837b0d12bf78700e69f2e45e6e"
"CAGED/2019/CAGEDEST_122019.7z",19584290,"6aa6ec83cd867a42a0c7be7774cd56cd"
"NOVO CAGED/2020/202001/CAGEDMOV202001.7z",34261878,"7679428b2d6f8f46e7f2e9ecce0f755d"
"NOVO CAGED/2020/202002/CAGEDMOV202002.7z",35517199,"26e9d38a4fe0158a90b323c1758483b6"
"NOVO CAGED/2020/202003/CAGEDMOV202003.7z",37219967,"bba5106b3f34cd976755eff2b45e2ffa"
"NOVO CAGED/2020/202004/CAGEDMOV202004.7z",26887889,"f9d00a565191a0087f62d013cd10224a"
"NOVO CAGED/2020/202005/CAGEDMOV202005.7z",22429826,"06e67dde426cada6b4160d016858b7fa"
"NOVO CAGED/2020/202006/CAGEDMOV202006.7z",23084159,"ffb0e0b6bb982d49f4175c0cb53fe130"
"NOVO CAGED/2020/202007/CAGEDMOV202007.7z",25363835,"3297b231e73efeaf7c9be4332f0c0bca"
"NOVO CAGED/2020/202008/CAGEDMOV202008.7z",28769169,"c727de37b63c1f06b0bbbb4c7982c3c4"
"NOVO CAGED/2020/202009/CAGEDMOV202009.7z",31561459,"9416064df234d9c3b9573fa3cfdae5e1"
"NOVO CAGED/2020/202010/CAGEDMOV202010.7z",34833979,"5280e9b55eed3ddcfc4c072245f87e41"
"NOVO CAGED/2020/202011/CAGEDMOV202011.7z",33900067,"b6ff78bdaae0afdb39074815ca6705f2"
"NOVO CAGED/2020/202012/CAGEDMOV202012.7z",32633265,"122ac0f863b20f4c2d1c848dfe0eb98c"
"NOVO CAGED/2021/202101/CAGEDMOV202101.7z",36186193,"abda9a3c841048c5e426ce6c805631e4"
"NOVO CAGED/2021/202102/CAGEDMOV202102.7z",38710316,"53d14ecad74794d53947a066301547e4"
"NOVO CAGED/2021/202103/CAGEDMOV202103.7z",39256619,"918765666c8e5165fbf59032020b830f"
"NOVO CAGED/2021/202104/CAGEDMOV202104.7z",34216378,"34c19d6e0bdc04f64aa40c1a155b6e94"
"NOVO CAGED/2021/202105/CAGEDMOV202105.7z",36157691,"17c99fccd70443482a4b3a255fb40a4b"
"NOVO CAGED/2021/202106/CAGEDMOV202106.7z",37140243,"8508245b5373b5fb85f489fe9a0ced8e"
"NOVO CAGED/2021/202107/CAGEDMOV202107.7z",38493488,"9b33afba1b99cd08a80cc7e7c47f709c"
"NOVO CAGED/2021/202108/CAGEDMOV202108.7z",41689836,"a70bb474101cee6855f4b78e4a23cd90"
"NOVO CAGED/2021/202109/CAGEDMOV202109.7z",41632850,"e93120dfda40c715d18c3dd4f0258e14"
"NOVO CAGED/2021/202110/CAGEDMOV202110.7z",41620849,"6000361c02629725d5291ddd9f0e5d6e"
"NOVO CAGED/2021/202111/CAGEDMOV202111.7z",40730397,"38b9b0c4889c65e6fbd66f2b0835e53c"
"NOVO CAGED/2021/202112/CAGEDMOV202112.7z",39725730,"fd05b694aef9796cf32ec21b5882d766"
"NOVO CAGED/2022/202201/CAGEDMOV202201.7z",43217451,"d92b1ffcc3be486ba6706e90dffb1e93"
"NOVO CAGED/2022/202202/CAGEDMOV202202.7z",47209395,"14d7c9530730e8c109f8d053385fc4c3"
"NOVO CAGED/2022/202203/CAGEDMOV202203.7z",48101588,"aa019f9ed7ac5e39de0f79b48f070665"
"NOVO CAGED/2022/202204/CAGEDMOV202204.7z",44867258,"d05834b62cae03743ce95b70a603f5a0"
"NOVO CAGED/2022/202205/CAGEDMOV202205.7z",46524124,"366b4f5ebfe6468cdbfe9ee61d65f255"
"NOVO CAGED/2022/202206/CAGEDMOV202206.7z",44999866,"7b20d497f7bed6a69595a7b2a46ee769"
"NOVO CAGED/2022/202207/CAGEDMOV202207.7z",45429180,"44cab5ca70a2b30a6b1756f950857111"
"NOVO CAGED/2022/202208/CAGEDMOV202208.7z",48975744,"e549c03750417240e93a730a942915c6"
"NOVO CAGED/2022/202209/CAGEDMOV202209.7z",45611759,"50cf47e112bd25a5ff9fce73e12cfd45"
"NOVO CAGED/2022/202210/CAGEDMOV202210.7z",43580858,"560bac50065125425c82dc10cc951d15"
"NOVO CAGED/2022/202211/CAGEDMOV202211.7z",42601431,"8052c6ec2aad782f11238ecbf03154c6"
"NOVO CAGED/2022/202212/CAGEDMOV202212.7z",40425035,"32bbb20c9994b7685f1b42d05ceb35da"
"NOVO CAGED/2023/202301/CAGEDMOV202301.7z",46719858,"3704414f603c1c85e79df2bed9b46179"
"NOVO CAGED/2023/202302/CAGEDMOV202302.7z",46755851,"3381e0c912588d2bc8d28285cdae5618"
"NOVO CAGED/2023/202303/CAGEDMOV202303.7z",52898207,"30f4b82a52a1139a399272e72c525edb"
"NOVO CAGED/2023/202304/CAGEDMOV202304.7z",45282290,"893290ebab59f582b7b99401110f5de9"
"NOVO CAGED/2023/202305/CAGEDMOV202305.7z",49004467,"4229e35ecb338ec640ad54190ac1fb7a"
"NOVO CAGED/2023/202306/CAGEDMOV202306.7z",46886297,"a8d76c589372c75941c692db8e91acd9"
"NOVO CAGED/2023/202307/CAGEDMOV202307.7z",46260497,"3e73bc8440e8d0743ad8f35a5421061c"
"NOVO CAGED/2023/202308/CAGEDMOV202308.7z",50031370,"d6d1f70f19bf9a1869396daf3f925499"
"NOVO CAGED/2023/202309/CAGEDMOV202309.7z",45365331,"cea760f8685e3107da5a0d5f5827554c"
"NOVO CAGED/2023/202310/CAGEDMOV202310.7z",46890697,"23efeb520382c6b67c470f06cb8124a6"
"NOVO CAGED/2023/202311/CAGEDMOV202311.7z",45657398,"4b59be132801a00e674699c9c57db0c7"
"NOVO CAGED/2023/202312/CAGEDMOV202312.7z",43449338,"29c35ff0d1dc101bcb8e8404ffb29aad"
